kode,hasc,penduduk_2014
15416,BN,895986
15417,BY,1620918
15418,BT,736397
15419,BL,848369
15420,BO,957857
15421,BR,1773379
15422,CI,1685573
15423,DE,1106328
15424,GR,1343960
15425,JE,1170797
15426,KA,848255
15427,KB,1181006
15428,KN,934643
15429,KL,1154040
15430,MM,120373
15431,PM,293704
15432,SM,1672999
15433,TM,244998
15434,KU,821136
15435,MR,1233695
15436,PA,1225594
15437,PR,867573
15438,PL,1284236
15439,PB,889214
15440,PW,708038
15441,RE,614087
15442,SA,181193
15443,SR,987557
15444,SG,875600
15445,SH,856937
15446,SK,510077
15447,TR,1420132
15448,TG,738915
15449,WG,945817
15450,WS,773280
